"Data e Horário","somatorio"
"06/10/2024 02:01:38 pm","0.00"
"06/10/2024 02:01:36 pm","0.00"
"06/10/2024 02:01:34 pm","0.00"
"06/10/2024 02:01:32 pm","0.00"
"06/10/2024 02:01:30 pm","0.00"
"06/10/2024 02:01:28 pm","0.00"
"06/10/2024 02:01:26 pm","0.00"
"06/10/2024 02:01:24 pm","0.00"
"06/10/2024 02:01:22 pm","0.00"
"06/10/2024 02:01:20 pm","0.00"
"06/10/2024 02:01:18 pm","0.00"
"06/10/2024 02:01:16 pm","0.00"
"06/10/2024 02:01:14 pm","0.00"
"06/10/2024 02:01:12 pm","0.00"
"06/10/2024 02:01:10 pm","0.00"
"06/10/2024 02:01:08 pm","0.00"
"06/10/2024 02:01:06 pm","0.00"
"06/10/2024 02:01:04 pm","0.00"
"06/10/2024 02:01:02 pm","0.00"
"06/10/2024 02:01:00 pm","0.00"
"06/10/2024 02:00:58 pm","0.00"
"06/10/2024 02:00:56 pm","0.00"
"06/10/2024 02:00:54 pm","0.00"
"06/10/2024 02:00:52 pm","0.00"
"06/10/2024 02:00:50 pm","0.00"
"06/10/2024 02:00:48 pm","0.00"
"06/10/2024 02:00:46 pm","0.00"
"06/10/2024 02:00:44 pm","0.00"
"06/10/2024 02:00:42 pm","0.00"
"06/10/2024 02:00:40 pm","0.00"
"06/10/2024 02:00:38 pm","0.00"
"06/10/2024 02:00:36 pm","0.00"
"06/10/2024 02:00:34 pm","0.00"
"06/10/2024 02:00:32 pm","0.00"
"06/10/2024 02:00:30 pm","0.00"
"06/10/2024 02:00:28 pm","0.00"
"06/10/2024 02:00:26 pm","0.00"
"06/10/2024 02:00:24 pm","0.00"
"06/10/2024 02:00:22 pm","0.00"
"06/10/2024 02:00:20 pm","0.00"
"06/10/2024 02:00:18 pm","0.00"
"06/10/2024 02:00:16 pm","0.00"
"06/10/2024 02:00:14 pm","0.00"
"06/10/2024 02:00:12 pm","0.00"
"06/10/2024 02:00:10 pm","0.00"
"06/10/2024 02:00:08 pm","0.00"
"06/10/2024 02:00:06 pm","0.00"
"06/10/2024 02:00:04 pm","0.00"
"06/10/2024 02:00:02 pm","0.00"
"06/10/2024 02:00:00 pm","0.00"
"06/10/2024 01:59:58 pm","0.00"
"06/10/2024 01:59:56 pm","0.00"
"06/10/2024 01:59:54 pm","0.00"
"06/10/2024 01:59:52 pm","0.00"
"06/03/2024 05:12:25 pm","10.00"
"06/03/2024 05:12:23 pm","10.00"
"06/03/2024 05:12:21 pm","10.00"
"06/03/2024 05:12:19 pm","10.00"
"06/03/2024 05:12:17 pm","10.00"
"06/03/2024 05:12:15 pm","10.00"
"06/03/2024 05:12:13 pm","10.00"
"06/03/2024 05:12:11 pm","10.00"
"06/03/2024 05:12:09 pm","10.00"
"06/03/2024 05:12:07 pm","10.00"
"06/03/2024 05:12:05 pm","10.00"
"06/03/2024 05:12:03 pm","10.00"
"06/03/2024 05:12:01 pm","10.00"
"06/03/2024 05:11:59 pm","10.00"
"06/03/2024 05:11:57 pm","10.00"
"06/03/2024 05:11:55 pm","10.00"
"06/03/2024 05:11:53 pm","10.00"
"06/03/2024 05:11:51 pm","10.00"
"06/03/2024 05:11:49 pm","10.00"
"06/03/2024 05:11:47 pm","10.00"
"06/03/2024 05:11:45 pm","10.00"
"06/03/2024 05:11:43 pm","10.00"
"06/03/2024 05:11:41 pm","10.00"
"06/03/2024 05:11:39 pm","10.00"
"06/03/2024 05:11:37 pm","10.00"
"06/03/2024 05:11:35 pm","10.00"
"06/03/2024 05:11:33 pm","10.00"
"06/03/2024 05:11:31 pm","10.00"
"06/03/2024 05:11:29 pm","10.00"
"06/03/2024 05:11:27 pm","10.00"
"06/03/2024 05:11:25 pm","10.00"
"06/03/2024 05:11:23 pm","10.00"
"06/03/2024 05:11:21 pm","10.00"
"06/03/2024 05:11:19 pm","10.00"
"06/03/2024 05:11:17 pm","10.00"
"06/03/2024 05:11:15 pm","10.00"
"06/03/2024 05:11:13 pm","10.00"
"06/03/2024 05:11:11 pm","10.00"
"06/03/2024 05:11:09 pm","10.00"
"06/03/2024 05:11:07 pm","10.00"
"06/03/2024 05:11:05 pm","9.00"
"06/03/2024 05:11:03 pm","9.00"
"06/03/2024 05:11:01 pm","8.00"
"06/03/2024 05:10:59 pm","8.00"
"06/03/2024 05:10:57 pm","8.00"
"06/03/2024 05:10:55 pm","8.00"
"06/03/2024 05:10:53 pm","8.00"
"06/03/2024 05:10:51 pm","8.00"
"06/03/2024 05:10:49 pm","7.00"
"06/03/2024 05:10:47 pm","7.00"
"06/03/2024 05:10:45 pm","6.00"
"06/03/2024 05:10:43 pm","5.00"
"06/03/2024 05:10:41 pm","4.00"
"06/03/2024 05:10:39 pm","3.00"
"06/03/2024 05:10:36 pm","2.00"
"06/03/2024 05:10:34 pm","2.00"
"06/03/2024 05:10:32 pm","1.00"
"06/03/2024 05:10:30 pm","1.00"
"06/03/2024 05:10:28 pm","0.00"
"06/03/2024 05:10:26 pm","0.00"
"06/03/2024 05:10:24 pm","0.00"
"06/03/2024 05:10:22 pm","0.00"
"06/03/2024 05:10:20 pm","0.00"
"06/03/2024 05:10:18 pm","0.00"
"06/03/2024 05:10:16 pm","0.00"
"06/03/2024 05:10:14 pm","0.00"
"06/03/2024 05:10:12 pm","0.00"
"06/03/2024 05:10:10 pm","0.00"
"06/03/2024 05:10:08 pm","0.00"
"06/03/2024 05:10:06 pm","0.00"
"06/03/2024 05:10:04 pm","0.00"
"06/03/2024 05:10:02 pm","0.00"
"06/03/2024 05:10:00 pm","0.00"
"06/03/2024 05:09:58 pm","0.00"
"06/03/2024 05:09:56 pm","0.00"
"06/03/2024 05:09:54 pm","0.00"
"06/03/2024 05:09:52 pm","0.00"
"06/03/2024 05:09:50 pm","0.00"
"06/03/2024 05:09:48 pm","0.00"
"06/03/2024 05:09:46 pm","0.00"
"06/03/2024 05:09:44 pm","0.00"
"06/03/2024 05:09:42 pm","0.00"
"06/03/2024 05:09:40 pm","0.00"
"06/03/2024 05:09:38 pm","0.00"
"06/03/2024 05:09:36 pm","0.00"
"06/03/2024 05:09:34 pm","0.00"
"06/03/2024 05:09:32 pm","0.00"
"06/03/2024 05:09:30 pm","0.00"
"06/03/2024 05:09:28 pm","0.00"
"06/03/2024 05:09:26 pm","0.00"
"06/03/2024 05:09:24 pm","0.00"
"06/03/2024 05:09:22 pm","0.00"
"06/03/2024 05:09:20 pm","0.00"
"06/03/2024 05:09:18 pm","0.00"
"06/03/2024 05:09:16 pm","0.00"
"06/03/2024 05:09:14 pm","0.00"
"06/03/2024 05:09:12 pm","0.00"
"06/03/2024 05:09:10 pm","0.00"
"06/03/2024 05:09:08 pm","0.00"
"06/03/2024 05:09:06 pm","0.00"
"06/03/2024 05:09:04 pm","0.00"
"06/03/2024 05:09:02 pm","0.00"
"06/03/2024 05:09:00 pm","0.00"
"05/14/2024 05:08:02 pm","14.00"
"05/14/2024 05:08:00 pm","14.00"
"05/14/2024 05:07:59 pm","14.00"
"05/14/2024 05:07:56 pm","14.00"
"05/14/2024 05:07:54 pm","14.00"
"05/14/2024 05:07:52 pm","14.00"
"05/14/2024 05:07:50 pm","13.00"
"05/14/2024 05:07:48 pm","13.00"
"05/14/2024 05:07:46 pm","13.00"
"05/14/2024 05:07:44 pm","13.00"
"05/14/2024 05:07:42 pm","13.00"
"05/14/2024 05:07:41 pm","13.00"
"05/14/2024 05:07:38 pm","13.00"
"05/14/2024 05:07:36 pm","13.00"
"05/14/2024 05:07:34 pm","13.00"
"05/14/2024 05:07:32 pm","13.00"
"05/14/2024 05:07:30 pm","13.00"
"05/14/2024 05:07:28 pm","12.00"
"05/14/2024 05:07:26 pm","11.00"
"05/14/2024 05:07:24 pm","11.00"
"05/14/2024 05:07:22 pm","10.00"
"05/14/2024 05:07:20 pm","9.00"
"05/14/2024 05:07:18 pm","9.00"
"05/14/2024 05:07:16 pm","9.00"
"05/14/2024 05:07:14 pm","9.00"
"05/14/2024 05:07:12 pm","9.00"
"05/14/2024 05:07:10 pm","9.00"
"05/14/2024 05:07:08 pm","9.00"
"05/14/2024 05:07:06 pm","9.00"
"05/14/2024 05:07:04 pm","9.00"
"05/14/2024 05:07:02 pm","8.00"
"05/14/2024 05:06:59 pm","7.00"
"05/14/2024 05:06:57 pm","6.00"
"05/14/2024 05:06:55 pm","6.00"
"05/14/2024 05:06:53 pm","6.00"
"05/14/2024 05:06:51 pm","5.00"
"05/14/2024 05:06:49 pm","4.00"
"05/14/2024 05:06:47 pm","4.00"
"05/14/2024 05:06:46 pm","4.00"
"05/14/2024 05:06:43 pm","4.00"
"05/14/2024 05:06:41 pm","4.00"
"05/14/2024 05:06:39 pm","4.00"
"05/14/2024 05:06:37 pm","4.00"
"05/14/2024 05:06:35 pm","4.00"
"05/14/2024 05:06:33 pm","3.00"
"05/14/2024 05:06:31 pm","2.00"
"05/14/2024 05:06:29 pm","2.00"
"05/14/2024 05:06:28 pm","2.00"
"05/14/2024 05:06:25 pm","2.00"
"05/14/2024 05:06:23 pm","2.00"
"05/14/2024 05:06:21 pm","2.00"
"05/14/2024 05:06:19 pm","2.00"
"05/14/2024 05:06:17 pm","2.00"
"05/14/2024 05:06:15 pm","2.00"
"05/14/2024 05:06:13 pm","2.00"
"05/14/2024 05:05:33 pm","22.00"
"05/14/2024 05:05:31 pm","21.00"
"05/14/2024 05:05:29 pm","20.00"
"05/14/2024 05:05:27 pm","19.00"
"05/14/2024 05:05:25 pm","18.00"
"05/14/2024 05:05:23 pm","17.00"
"05/14/2024 05:05:21 pm","16.00"
"05/14/2024 05:05:19 pm","15.00"
"05/14/2024 05:05:16 pm","14.00"
"05/14/2024 05:05:14 pm","14.00"
"05/14/2024 05:05:12 pm","13.00"
"05/14/2024 05:05:10 pm","13.00"
"05/14/2024 05:05:08 pm","13.00"
"05/14/2024 05:05:06 pm","12.00"
"05/14/2024 05:05:04 pm","12.00"
"05/14/2024 05:05:02 pm","12.00"
"05/14/2024 05:05:00 pm","12.00"
"05/14/2024 05:04:58 pm","12.00"
"05/14/2024 05:04:56 pm","11.00"
"05/14/2024 05:04:54 pm","11.00"
"05/14/2024 05:04:52 pm","11.00"
"05/14/2024 05:04:50 pm","10.00"
"05/14/2024 05:04:48 pm","10.00"
"05/14/2024 05:04:46 pm","10.00"
"05/14/2024 05:04:44 pm","10.00"
"05/14/2024 05:04:42 pm","10.00"
"05/14/2024 05:04:40 pm","10.00"
"05/14/2024 05:04:38 pm","10.00"
"05/14/2024 05:04:36 pm","10.00"
"05/14/2024 05:04:34 pm","10.00"
"05/14/2024 05:04:32 pm","10.00"
"05/14/2024 05:04:30 pm","10.00"
"05/14/2024 05:04:28 pm","10.00"
"05/14/2024 05:04:26 pm","10.00"
"05/14/2024 05:04:24 pm","10.00"
"05/14/2024 05:04:22 pm","10.00"
"05/14/2024 05:04:20 pm","10.00"
"05/14/2024 05:04:18 pm","10.00"
"05/14/2024 05:04:16 pm","10.00"
"05/14/2024 05:04:14 pm","10.00"
"05/14/2024 05:04:12 pm","10.00"
"05/14/2024 05:04:10 pm","10.00"
"05/14/2024 05:04:08 pm","10.00"
"05/14/2024 05:04:06 pm","10.00"
"05/14/2024 05:04:04 pm","10.00"
"05/14/2024 05:04:02 pm","10.00"
"05/14/2024 05:04:00 pm","10.00"
"05/14/2024 05:03:58 pm","10.00"
"05/14/2024 05:03:56 pm","10.00"
"05/14/2024 05:03:54 pm","10.00"
"05/14/2024 05:03:52 pm","10.00"
"05/14/2024 05:03:50 pm","10.00"
"05/14/2024 05:03:48 pm","10.00"
